Delta y_MSE
1.000000000000000056e-01 1.632875035498098648e-01
1.047615752789664845e-01 1.700940331835103791e-01
1.097498765493056250e-01 1.771251329341072545e-01
1.149756995397735598e-01 1.843830412456197720e-01
1.204503540258782118e-01 1.918707479801971261e-01
1.261856883066020396e-01 1.995912397155749363e-01
1.321941148466029003e-01 2.075455458111215290e-01
1.384886371393873050e-01 2.157369249690453405e-01
1.450828778495939775e-01 2.241673618016672420e-01
1.519911082952933867e-01 2.328354271492583671e-01
1.592282793341092129e-01 2.417446476122308563e-01
1.668100537200058742e-01 2.508946107549587246e-01
1.747528400007683780e-01 2.602829346779372832e-01
1.830738280295368392e-01 2.699139048752881576e-01
1.917910261672488847e-01 2.797846672994025452e-01
2.009233002565046777e-01 1.531643916039304443e-01
2.104904144512020903e-01 3.002446934700591097e-01
2.205130739903045645e-01 3.108201158777929018e-01
2.310129700083159709e-01 3.216211091459644233e-01
2.420128264794382256e-01 3.326522491544967597e-01
2.535364493970111988e-01 3.438993198366006587e-01
2.656087782946686682e-01 3.553616256349509950e-01
2.782559402207124277e-01 3.670320411059365684e-01
2.915053062825177510e-01 3.789046727553364580e-01
3.053855508833415722e-01 3.909697025690912486e-01
3.199267137797383587e-01 4.032158009325421677e-01
3.351602650938842465e-01 4.156400180333474914e-01
3.511191734215131643e-01 4.282256666405827028e-01
3.678379771828634293e-01 4.409670323973647332e-01
3.853528593710529582e-01 4.538451070008083787e-01
4.037017258596554692e-01 4.668536655838357863e-01
4.229242874389498863e-01 4.799746242206660019e-01
4.430621457583880929e-01 4.931998927629141494e-01
4.641588833612779741e-01 5.065057265419112831e-01
4.862601580065354923e-01 5.198785466232886954e-01
5.094138014816380622e-01 5.333005131511026065e-01
5.336699231206309957e-01 5.467593513705548691e-01
5.590810182512223614e-01 5.602321748244895039e-01
5.857020818056667411e-01 5.737030195967809387e-01
6.135907273413173657e-01 5.871485350541016945e-01
6.428073117284321958e-01 6.005525166826252148e-01
6.734150657750823665e-01 6.138959231794474114e-01
7.054802310718644165e-01 6.271554404205426092e-01
7.390722033525779500e-01 6.403118684565536345e-01
7.742636826811272188e-01 6.533437230857283007e-01
8.111308307896872849e-01 6.662362424449550513e-01
8.497534359086444944e-01 6.789606812270618796e-01
8.902150854450388007e-01 6.915061408736993265e-01
9.326033468832198858e-01 7.038574823852684625e-01
9.770099572992253512e-01 7.159758929536228500e-01
1.023531021899026339e+00 7.278675610993774470e-01
1.072267222010323762e+00 7.394994265602188310e-01
1.123324032978027631e+00 7.508690137156802669e-01
1.176811952434998476e+00 7.619479641981293794e-01
1.232846739442066575e+00 7.727346987089979136e-01
1.291549665014884107e+00 7.832164393650415946e-01
1.353047774579807516e+00 7.933728866007938585e-01
1.417474162926805503e+00 8.032076551786342389e-01
1.484968262254465099e+00 8.127138496280766899e-01
1.555676143930472266e+00 8.218782493878121764e-01
1.629750834620644406e+00 8.307024776951033029e-01
1.707352647470691265e+00 8.391827389608801369e-01
1.788649529057435128e+00 8.473261586726046346e-01
1.873817422860384996e+00 8.551181726675629591e-01
1.963040650040271506e+00 8.625705596426622712e-01
2.056512308348651619e+00 8.696804946787907165e-01
2.154434690031884259e+00 8.764832090101921658e-01
2.257019719633920118e+00 8.829357034636228230e-01
2.364489412645408350e+00 8.890882442744421077e-01
2.477076355991711498e+00 8.949261465230329282e-01
2.595024211399737268e+00 9.004792824274198138e-01
2.718588242732941307e+00 9.057453573369620425e-01
2.848035868435801810e+00 9.107522103781329204e-01
2.983647240283340274e+00 9.154722898007849885e-01
3.125715849688236680e+00 9.199323425573047164e-01
3.274549162877729902e+00 9.241332350584656741e-01
3.430469286314919319e+00 9.281804669025752741e-01
3.593813663804627634e+00 9.319369617198118849e-01
3.764935806792469197e+00 9.355099138424904925e-01
3.944206059437656009e+00 9.389041367971460161e-01
4.132012400115338657e+00 9.420696137646906720e-01
4.328761281083059131e+00 9.450871027242548905e-01
4.534878508128584507e+00 9.479211749134480725e-01
4.750810162102798273e+00 9.505886566315884245e-01
4.977023564332111683e+00 9.531434866637645831e-01
5.214008287999686964e+00 9.555333539911041729e-01
5.462277217684342823e+00 9.578297629812415614e-01
5.722367659350219959e+00 9.599280560252851924e-01
5.994842503189412142e+00 9.620250815126166755e-01
6.280291441834256361e+00 9.639062667744148216e-01
6.579332246575682497e+00 9.657377701126996783e-01
6.892612104349698399e+00 9.673948141785411181e-01
7.220809018385467404e+00 9.690573101832336000e-01
7.564633275546290392e+00 9.705924621321488921e-01
7.924828983539177862e+00 9.720307687173026512e-01
8.302175681319747369e+00 9.734260016159702600e-01
8.697490026177835176e+00 9.747329237627487819e-01
9.111627561154895361e+00 9.759854887500269971e-01
9.545484566618341660e+00 9.772424611626109314e-01
1.000000000000000000e+01 9.782102052517509527e-01
