Delta y_MSE phi
1.000000000000000021e-03 7.521958597490289045e-04 -6.311166983552405352e-01
1.123324032978026540e-03 8.444853464894925502e-04 -6.457950245598134131e-01
1.261856883066021133e-03 9.444708368970589117e-04 -6.604223954201954294e-01
1.417474162926804808e-03 1.064603745000824823e-03 -6.748836886154887527e-01
1.592282793341093759e-03 1.188471046058937235e-03 -6.893600238260322310e-01
1.788649529057435026e-03 1.336182598183383247e-03 -7.040302505727431548e-01
2.009233002565045858e-03 1.502149086438256224e-03 -7.186653307738182228e-01
2.257019719633921329e-03 1.680672989624701222e-03 -7.331878363087985795e-01
2.535364493970111363e-03 1.894541688687817081e-03 -7.476531767197827083e-01
2.848035868435804668e-03 2.132031377449924991e-03 -7.623654173586864591e-01
3.199267137797384610e-03 2.388569222506649065e-03 -7.770232007753328229e-01
3.593813663804625805e-03 2.682846520443063661e-03 -7.916103123327078439e-01
4.037017258596557745e-03 3.011244600750860242e-03 -8.061653166651211455e-01
4.534878508128581745e-03 3.389299648617672724e-03 -8.209226352588189224e-01
5.094138014816375348e-03 3.791504041345311084e-03 -8.356469498625782588e-01
5.722367659350220161e-03 4.262791745702613523e-03 -8.503184879714105193e-01
6.428073117284318835e-03 4.785667111837065175e-03 -8.649602079988460979e-01
7.220809018385471005e-03 5.375170019121599564e-03 -8.795430834364241779e-01
8.111308307896872294e-03 6.035484630462112018e-03 -8.943977747938480771e-01
9.111627561154887062e-03 6.760441378225570501e-03 -9.092034874428489566e-01
1.023531021899026783e-02 7.596112303335668565e-03 -9.239985982784360008e-01
1.149756995397735633e-02 8.510471214196287798e-03 -9.387686561227404081e-01
1.291549665014883955e-02 9.548789994124656094e-03 -9.538252116392653690e-01
1.450828778495940122e-02 1.070611005757288181e-02 -9.688768219099122003e-01
1.629750834620645114e-02 1.199852953737856436e-02 -9.839370483531435507e-01
1.830738280295367976e-02 1.345520596818186587e-02 -9.990096404272679198e-01
2.056512308348651397e-02 1.507775803975503100e-02 -1.014423326588605345e+00
2.310129700083160542e-02 1.688089241255465861e-02 -1.029879583352830918e+00
2.595024211399737241e-02 1.889347836174419537e-02 -1.045408609956739232e+00
2.915053062825175706e-02 2.113271713606703489e-02 -1.061019814932823158e+00
3.274549162877728181e-02 2.362668435610526876e-02 -1.077061770276889874e+00
3.678379771828634015e-02 2.639357750939891334e-02 -1.093235328884237578e+00
4.132012400115338963e-02 2.947709939666032924e-02 -1.109563655971403495e+00
4.641588833612777382e-02 3.289016911221800260e-02 -1.126068869679688556e+00
5.214008287999684355e-02 3.667310439159564978e-02 -1.143116468351217163e+00
5.857020818056667133e-02 4.086482137826390193e-02 -1.160394393808657831e+00
6.579332246575682330e-02 4.550350550628353558e-02 -1.177926922904536378e+00
7.390722033525783108e-02 5.061662458479758431e-02 -1.195737741839098867e+00
8.302175681319744205e-02 5.627037513986919703e-02 -1.214222396493460421e+00
9.326033468832199691e-02 6.249527697992181274e-02 -1.233044325111561035e+00
1.047615752789665122e-01 6.934576717549102709e-02 -1.252228407859898640e+00
1.176811952434999031e-01 7.686816379377256481e-02 -1.271800642527857406e+00
1.321941148466028726e-01 8.512666213540777405e-02 -1.292195960003767352e+00
1.484968262254464932e-01 9.416920867114068894e-02 -1.313041898781214689e+00
1.668100537200059019e-01 1.040524033049624875e-01 -1.334364729394212024e+00
1.873817422860384885e-01 1.148378040109975795e-01 -1.356190457123842341e+00
2.104904144512019792e-01 1.265822961559883164e-01 -1.379003658665637122e+00
2.364489412645407185e-01 1.393425518038751698e-01 -1.402385057637928867e+00
2.656087782946686682e-01 1.531744701327935332e-01 -1.426360382309230346e+00
2.983647240283340274e-01 1.681308260725424830e-01 -1.450954760447094261e+00
3.351602650938840799e-01 1.842655285656773778e-01 -1.476710859101544315e+00
3.764935806792467643e-01 2.016167799845355324e-01 -1.503150336911713847e+00
4.229242874389498863e-01 2.202047116947263850e-01 -1.530296345252732948e+00
4.750810162102798162e-01 2.400881407820413260e-01 -1.558170486318996240e+00
5.336699231206312177e-01 2.612449653578917674e-01 -1.587380509770145665e+00
5.994842503189409255e-01 2.836958414967319930e-01 -1.617376200319308399e+00
6.734150657750821445e-01 3.074201595276756516e-01 -1.648174638598762343e+00
7.564633275546290836e-01 3.323617270815494296e-01 -1.679790139949130623e+00
8.497534359086447164e-01 3.585277621273718074e-01 -1.712234834738323830e+00
9.545484566618337441e-01 3.857281669107082145e-01 -1.746203361047123481e+00
1.072267222010323096e+00 4.139284610940681675e-01 -1.781037856497370786e+00
1.204503540258782479e+00 4.429927758342221411e-01 -1.816740610376881726e+00
1.353047774579806850e+00 4.727969006672597119e-01 -1.853310149850020405e+00
1.519911082952933867e+00 5.031095784700612139e-01 -1.891510703312038189e+00
1.707352647470690377e+00 5.337578683018635584e-01 -1.930584549495551361e+00
1.917910261672488792e+00 5.644670039373405057e-01 -1.970517532978731001e+00
2.154434690031883370e+00 5.950591637527072875e-01 -2.011291743313876168e+00
2.420128264794382034e+00 6.252875348025177527e-01 -2.053736980808784640e+00
2.718588242732941307e+00 6.548744926099093755e-01 -2.096992183068240756e+00
3.053855508833415389e+00 6.836567741883273763e-01 -2.141024410504770881e+00
3.430469286314919319e+00 7.112263031802837920e-01 -2.185797346386685547e+00
3.853528593710529471e+00 7.376555686566043102e-01 -2.232199992187656967e+00
4.328761281083059131e+00 7.626323318928982520e-01 -2.279275038474151138e+00
4.862601580065353701e+00 7.860217162975968730e-01 -2.326973926075790455e+00
5.462277217684342823e+00 8.075738402668427574e-01 -2.375246248074015298e+00
6.135907273413172547e+00 8.275945003557880764e-01 -2.425035679242930176e+00
6.892612104349698399e+00 8.458361879544178397e-01 -2.475307221537697444e+00
7.742636826811269302e+00 8.625771673079642987e-01 -2.526006545397933234e+00
8.697490026177835176e+00 8.774343982275403242e-01 -2.577080165964396929e+00
9.770099572992251069e+00 8.908850848928714372e-01 -2.629521940604905517e+00
1.097498765493056183e+01 9.031043494147690254e-01 -2.682245563956276335e+00
1.232846739442065953e+01 9.137220643919223839e-01 -2.735201482737009471e+00
1.384886371393873183e+01 9.233438626583490016e-01 -2.788343306712516068e+00
1.555676143930472222e+01 9.322765870202363025e-01 -2.842709914983980291e+00
1.747528400007684013e+01 9.398128562285934517e-01 -2.897185180406201432e+00
1.963040650040270307e+01 9.465213205961591214e-01 -2.951730735445915244e+00
2.205130739903045622e+01 9.522658009307779503e-01 -3.006311608398154256e+00
2.477076355991711409e+01 9.564199109451377856e-01 -3.062002335922901608e+00
2.782559402207124322e+01 9.609423479992503792e-01 -3.117671433706847850e+00
3.125715849688235082e+01 9.675435432600609786e-01 -3.173291573840513635e+00
3.511191734215130822e+01 9.703539075448955886e-01 -3.228838322928322402e+00
3.944206059437656364e+01 9.715543310913953290e-01 -3.285412680145940456e+00
4.430621457583880130e+01 9.769094414868089160e-01 -3.341874505446993382e+00
4.977023564332111505e+01 9.775064634138874720e-01 -3.398205574423016628e+00
5.590810182512222326e+01 9.820410067929778997e-01 -3.454389369944220078e+00
6.280291441834253163e+01 9.791132556020942790e-01 -3.511545006066404184e+00
7.054802310718642389e+01 9.869564853861219067e-01 -3.568527596946813318e+00
7.924828983539173066e+01 9.879150507812840543e-01 -3.625325133669853095e+00
8.902150854450383122e+01 9.812331862956149564e-01 -3.681927054023568679e+00
1.000000000000000000e+02 9.890850617560373870e-01 -3.738323907310577177e+00
