Delta y_MSE phi
1.000000000000000021e-03 3.578509227187883640e-04 1.326171755224222704e+00
1.123324032978026540e-03 3.979516439265605226e-04 1.232640412101228433e+00
1.261856883066021133e-03 4.585268411699963491e-04 1.139486147907772029e+00
1.417474162926804808e-03 5.116253560773903735e-04 1.047168695718386555e+00
1.592282793341093759e-03 5.641508415231684479e-04 9.548500855655648323e-01
1.788649529057435026e-03 6.353207934459022786e-04 8.616648375571513974e-01
2.009233002565045858e-03 7.103473198441206515e-04 7.686418159611827505e-01
2.257019719633921329e-03 8.128625005426270110e-04 6.762020138240409928e-01
2.535364493970111363e-03 9.064509448033833666e-04 5.842076790171062406e-01
2.848035868435804668e-03 1.014759995300265442e-03 4.908254822283599772e-01
3.199267137797384610e-03 1.149658316886057775e-03 3.979011900580653460e-01
3.593813663804625805e-03 1.287371049502185165e-03 3.054938032473071274e-01
4.037017258596557745e-03 1.452984320582922451e-03 2.135171677108114174e-01
4.534878508128581745e-03 1.626363792671248545e-03 1.201605144699451344e-01
5.094138014816375348e-03 1.816947841770899259e-03 2.720682981027078284e-02
5.722367659350220161e-03 2.052610342980733943e-03 -6.517064285088158826e-02
6.428073117284318835e-03 2.291621705395047257e-03 -1.571638311812728617e-01
7.220809018385471005e-03 2.566012094467970232e-03 -2.486498021013527904e-01
8.111308307896872294e-03 2.900393280653186696e-03 -3.415815573089417967e-01
9.111627561154887062e-03 3.258009418640250583e-03 -4.340297588689114860e-01
1.023531021899026783e-02 3.663217168174614288e-03 -5.260046456483475907e-01
1.149756995397735633e-02 4.106201246994968176e-03 -6.175767724676333170e-01
1.291549665014883955e-02 4.631524144540296976e-03 -7.105025281807162418e-01
1.450828778495940122e-02 5.184766768958820604e-03 -8.029859777077255067e-01
1.629750834620645114e-02 5.849726743996802938e-03 -8.950392206340089807e-01
1.830738280295367976e-02 6.550664561888846528e-03 -9.866525475413034929e-01
2.056512308348651397e-02 7.354680190274034968e-03 -1.079668421924997901e+00
2.310129700083160542e-02 8.259606533197360462e-03 -1.172245619323922350e+00
2.595024211399737241e-02 9.283643149854766893e-03 -1.264362559257053986e+00
2.915053062825175706e-02 1.041163243228291832e-02 -1.356067767967903404e+00
3.274549162877728181e-02 1.168983582216700373e-02 -1.449205300032037069e+00
3.678379771828634015e-02 1.311933809548981346e-02 -1.541897585974421059e+00
4.132012400115338963e-02 1.475391575963846784e-02 -1.634181420799721174e+00
4.641588833612777382e-02 1.655405641441194675e-02 -1.726042548165859891e+00
5.214008287999684355e-02 1.858101173844790149e-02 -1.819348777200886502e+00
5.857020818056667133e-02 2.084521316988245318e-02 -1.912256893540613234e+00
6.579332246575682330e-02 2.339403235104493481e-02 -2.004757939117139731e+00
7.390722033525783108e-02 2.623846160656048351e-02 -2.096874768964291036e+00
8.302175681319744205e-02 2.943433158885352605e-02 -2.190465232474929191e+00
9.326033468832199691e-02 3.299189410552425678e-02 -2.283682788849159095e+00
1.047615752789665122e-01 3.700121966958940661e-02 -2.376539386764568995e+00
1.176811952434999031e-01 4.147653418365484373e-02 -2.469044499919990532e+00
1.321941148466028726e-01 4.646572592507907523e-02 -2.563080485122264385e+00
1.484968262254464932e-01 5.205860052633829588e-02 -2.656794570857194948e+00
1.668100537200059019e-01 5.828761606016893970e-02 -2.750206334434855293e+00
1.873817422860384885e-01 6.523217433445523128e-02 -2.843332950969851058e+00
2.104904144512019792e-01 7.297075231261374029e-02 -2.938077267756383559e+00
2.364489412645407185e-01 8.158102700240825456e-02 -3.032586262137905830e+00
2.656087782946686682e-01 9.113857191510571498e-02 -3.126889941008452301e+00
2.983647240283340274e-01 1.017361666549103372e-01 -3.221021119320540471e+00
3.351602650938840799e-01 1.134459667272920136e-01 -3.316920790368370398e+00
3.764935806792467643e-01 1.263620671525809425e-01 -3.412741226458147814e+00
4.229242874389498863e-01 1.405224135028341481e-01 -3.508540692416609375e+00
4.750810162102798162e-01 1.559909994304068126e-01 -3.604391474771881487e+00
5.336699231206312177e-01 1.728196797107684757e-01 -3.702317784324476335e+00
5.994842503189409255e-01 1.910467761592353764e-01 -3.800466921082594318e+00
6.734150657750821445e-01 2.107214727117256159e-01 -3.898921959763303136e+00
7.564633275546290836e-01 2.318921374117172696e-01 -3.997762409589517674e+00
8.497534359086447164e-01 2.545343143959497012e-01 -4.097068378654528331e+00
9.545484566618337441e-01 2.787093616606273749e-01 -4.198950798528147565e+00
1.072267222010323096e+00 3.043379861133633790e-01 -4.301469384050570888e+00
1.204503540258782479e+00 3.314120681196559559e-01 -4.404691662764989246e+00
1.353047774579806850e+00 3.598701741141335786e-01 -4.508676103503473698e+00
1.519911082952933867e+00 3.895837135442821175e-01 -4.615618735484821045e+00
1.707352647470690377e+00 4.205061971448119107e-01 -4.723456957574434512e+00
1.917910261672488792e+00 4.523763463564087761e-01 -4.832232020270408768e+00
2.154434690031883370e+00 4.850736053212801324e-01 -4.941978086900610911e+00
2.420128264794382034e+00 5.183837890868254750e-01 -5.054981406278242773e+00
2.718588242732941307e+00 5.519983591822054114e-01 -5.169027762518896729e+00
3.053855508833415389e+00 5.856098625756416265e-01 -5.284123087671154018e+00
3.430469286314919319e+00 6.190097522709052669e-01 -5.400263653260791941e+00
3.853528593710529471e+00 6.518297930290658515e-01 -5.519825633700814471e+00
4.328761281083059131e+00 6.838512811747962106e-01 -5.640426119557550244e+00
4.862601580065353701e+00 7.145741422549654054e-01 -5.762029127427966024e+00
5.462277217684342823e+00 7.439250006628899126e-01 -5.884589497545589687e+00
6.135907273413172547e+00 7.714071728417375429e-01 -6.010568695455643429e+00
6.892612104349698399e+00 7.970137135707586751e-01 -6.137415509707730088e+00
7.742636826811269302e+00 8.207570611595327303e-01 -6.265057970942291554e+00
8.697490026177835176e+00 8.419988572191081655e-01 -6.393417129720827319e+00
9.770099572992251069e+00 8.613020674878907323e-01 -6.525034007534300073e+00
1.097498765493056183e+01 8.787793107240085000e-01 -6.657220396453689126e+00
1.232846739442065953e+01 8.937941211946019981e-01 -6.789885280219581709e+00
1.384886371393873183e+01 9.072708542021052924e-01 -6.922938905403516863e+00
1.555676143930472222e+01 9.187074025795114451e-01 -7.059000306543550707e+00
1.747528400007684013e+01 9.287748233956015786e-01 -7.195291926680080330e+00
1.963040650040270307e+01 9.383804127960502228e-01 -7.331729937526122676e+00
2.205130739903045622e+01 9.456519120431623460e-01 -7.468233859592878332e+00
2.477076355991711409e+01 9.522294065585648060e-01 -7.607498306825589474e+00
2.782559402207124322e+01 9.574776849081885199e-01 -7.746697309804861042e+00
3.125715849688235082e+01 9.643776679823918840e-01 -7.885766469111350041e+00
3.511191734215130822e+01 9.673688098693606907e-01 -8.024646889987263165e+00
3.944206059437656364e+01 9.711511897130387094e-01 -8.166092338629887593e+00
4.430621457583880130e+01 9.763943672134620666e-01 -8.307253776457390160e+00
4.977023564332111505e+01 9.728840928779280972e-01 -8.448086000114045646e+00
5.590810182512222326e+01 9.793637232066974008e-01 -8.588549260006999475e+00
6.280291441834253163e+01 9.817742508924753864e-01 -8.731440937743688124e+00
7.054802310718642389e+01 9.816344190780745826e-01 -8.873899447431430332e+00
7.924828983539173066e+01 9.821402348338034161e-01 -9.015894725978576218e+00
8.902150854450383122e+01 9.797330847787362185e-01 -9.157400956220243415e+00
1.000000000000000000e+02 9.794465644614556155e-01 -9.298393760438791844e+00
