Delta y_MSE
1.000000000000000056e-01 4.261242247570978248e-01
1.047615752789664845e-01 1.851744419274765074e-01
1.097498765493056250e-01 1.932706829980626595e-01
1.149756995397735598e-01 2.016792076106590503e-01
1.204503540258782118e-01 2.104062880766913446e-01
1.261856883066020396e-01 2.194533181776979758e-01
1.321941148466029003e-01 2.288332682921626060e-01
1.384886371393873050e-01 2.385417920669139491e-01
1.450828778495939775e-01 2.485847312094742467e-01
1.519911082952933867e-01 2.589626303234864313e-01
1.592282793341092129e-01 2.696671054534044432e-01
1.668100537200058742e-01 2.806886173336836099e-01
1.747528400007683780e-01 2.920214392066795561e-01
1.830738280295368392e-01 3.036559671721579257e-01
1.917910261672488847e-01 3.155845856232143420e-01
2.009233002565046777e-01 3.278012754366215198e-01
2.104904144512020903e-01 3.402946011352976918e-01
2.205130739903045645e-01 3.530611443945286254e-01
2.310129700083159709e-01 3.660851925737515500e-01
2.420128264794382256e-01 3.793621311794197482e-01
2.535364493970111988e-01 3.928701780237259245e-01
2.656087782946686682e-01 4.066040018372185649e-01
2.782559402207124277e-01 4.205459793487106301e-01
2.915053062825177510e-01 4.346862599668565585e-01
3.053855508833415722e-01 4.490024167124915255e-01
3.199267137797383587e-01 4.634800612074341242e-01
3.351602650938842465e-01 4.780952433211123620e-01
3.511191734215131643e-01 4.928394004063740841e-01
3.678379771828634293e-01 5.076818144481640704e-01
3.853528593710529582e-01 5.226071523932458440e-01
4.037017258596554692e-01 5.375909219392879246e-01
4.229242874389498863e-01 5.526040545884103317e-01
4.430621457583880929e-01 5.676376987733937618e-01
4.641588833612779741e-01 5.826498402536934851e-01
4.862601580065354923e-01 5.976244277985367503e-01
5.094138014816380622e-01 6.125385701843454322e-01
5.336699231206309957e-01 6.273513006517366097e-01
5.590810182512223614e-01 6.420508860099189974e-01
5.857020818056667411e-01 6.566037449380808244e-01
6.135907273413173657e-01 6.709828825950087117e-01
6.428073117284321958e-01 6.851661247888300998e-01
6.734150657750823665e-01 6.991274356257942690e-01
7.054802310718644165e-01 7.128287879751199485e-01
7.390722033525779500e-01 7.262633688714413838e-01
7.742636826811272188e-01 7.394009676150550270e-01
8.111308307896872849e-01 7.522164537060060940e-01
8.497534359086444944e-01 7.646972990228504408e-01
8.902150854450388007e-01 7.768123661982511141e-01
9.326033468832198858e-01 7.885526918869822932e-01
9.770099572992253512e-01 7.999081681022001122e-01
1.023531021899026339e+00 8.108436618054315481e-01
1.072267222010323762e+00 8.213737811066224026e-01
1.123324032978027631e+00 8.314887984903434059e-01
1.176811952434998476e+00 8.411499297009596976e-01
1.232846739442066575e+00 8.503971314577101204e-01
1.291549665014884107e+00 8.592095747897798841e-01
1.353047774579807516e+00 8.676112103639450623e-01
1.417474162926805503e+00 8.755477586977264970e-01
1.484968262254465099e+00 8.830786399048420332e-01
1.555676143930472266e+00 8.901923540521659017e-01
1.629750834620644406e+00 8.968987581422449562e-01
1.707352647470691265e+00 9.032439437749264499e-01
1.788649529057435128e+00 9.091581005912373614e-01
1.873817422860384996e+00 9.147462439582776383e-01
1.963040650040271506e+00 9.199627936300156517e-01
2.056512308348651619e+00 9.249165004391184386e-01
2.154434690031884259e+00 9.294814585113808647e-01
2.257019719633920118e+00 9.337873884757907916e-01
2.364489412645408350e+00 9.377916476944987423e-01
2.477076355991711498e+00 9.414968178668696730e-01
2.595024211399737268e+00 9.449810807260830003e-01
2.718588242732941307e+00 9.482990002348838932e-01
2.848035868435801810e+00 9.513806139039899801e-01
2.983647240283340274e+00 9.541827653483228033e-01
3.125715849688236680e+00 9.569229566955828048e-01
3.274549162877729902e+00 9.593384195046373852e-01
3.430469286314919319e+00 9.616070720829698049e-01
3.593813663804627634e+00 9.638144521793836628e-01
3.764935806792469197e+00 9.659061202318413031e-01
3.944206059437656009e+00 9.677841337161401380e-01
4.132012400115338657e+00 9.695846609305144304e-01
4.328761281083059131e+00 9.711357735092477350e-01
4.534878508128584507e+00 9.727557333900285208e-01
4.750810162102798273e+00 9.743433980923366100e-01
4.977023564332111683e+00 9.755517551294345946e-01
5.214008287999686964e+00 9.768099004064967339e-01
5.462277217684342823e+00 9.781685522793397425e-01
5.722367659350219959e+00 9.792869974567026681e-01
5.994842503189412142e+00 9.803442378794003931e-01
6.280291441834256361e+00 9.812761954217055216e-01
6.579332246575682497e+00 9.825340287520851756e-01
6.892612104349698399e+00 9.834277197859933040e-01
7.220809018385467404e+00 9.838758825657651919e-01
7.564633275546290392e+00 9.851848290765810034e-01
7.924828983539177862e+00 9.855413768447727207e-01
8.302175681319747369e+00 9.864515532686778387e-01
8.697490026177835176e+00 9.869170212413016507e-01
9.111627561154895361e+00 9.879061697154942756e-01
9.545484566618341660e+00 9.882347532183166638e-01
1.000000000000000000e+01 9.886662577131866136e-01
