Delta y_MSE
1.000000000000000056e-01 1.890666204889663859e-01
1.047615752789664845e-01 1.975120055965659815e-01
1.097498765493056250e-01 2.064435850598867472e-01
1.149756995397735598e-01 2.156642226196245349e-01
1.204503540258782118e-01 2.253533013180479549e-01
1.261856883066020396e-01 2.352924771539570414e-01
1.321941148466029003e-01 2.455919528267085927e-01
1.384886371393873050e-01 2.565384826621510683e-01
1.450828778495939775e-01 2.677251029155964246e-01
1.519911082952933867e-01 2.794541692240753994e-01
1.592282793341092129e-01 2.915048694082015279e-01
1.668100537200058742e-01 3.040914361421209744e-01
1.747528400007683780e-01 3.172464991743252360e-01
1.830738280295368392e-01 3.308859343427443811e-01
1.917910261672488847e-01 3.449309942962440201e-01
2.009233002565046777e-01 3.594848759661504189e-01
2.104904144512020903e-01 3.747730827611620574e-01
2.205130739903045645e-01 3.902214769384262372e-01
2.310129700083159709e-01 4.061917808641154481e-01
2.420128264794382256e-01 4.227822685031444871e-01
2.535364493970111988e-01 4.401720998094758031e-01
2.656087782946686682e-01 4.578299533286138145e-01
2.782559402207124277e-01 4.760306883176833592e-01
2.915053062825177510e-01 4.947004168756127251e-01
3.053855508833415722e-01 5.138329686101572591e-01
3.199267137797383587e-01 5.337806840555749943e-01
3.351602650938842465e-01 5.542955015053874224e-01
3.511191734215131643e-01 5.743560413677051280e-01
3.678379771828634293e-01 5.955555546854310878e-01
3.853528593710529582e-01 6.171607103445397868e-01
4.037017258596554692e-01 6.390647608787616285e-01
4.229242874389498863e-01 6.613232131720543361e-01
4.430621457583880929e-01 6.832817955560203105e-01
4.641588833612779741e-01 7.051146479451675386e-01
4.862601580065354923e-01 7.283721341731497212e-01
5.094138014816380622e-01 7.504966009829913132e-01
5.336699231206309957e-01 7.728041884718183097e-01
5.590810182512223614e-01 7.945502952700091992e-01
5.857020818056667411e-01 8.155253873425334366e-01
6.135907273413173657e-01 8.357418760795654045e-01
6.428073117284321958e-01 8.547909905783592777e-01
6.734150657750823665e-01 8.724348947533895338e-01
7.054802310718644165e-01 8.886678556328131418e-01
7.390722033525779500e-01 9.033891019292850100e-01
7.742636826811272188e-01 9.166216318883896319e-01
8.111308307896872849e-01 9.284579325185013943e-01
8.497534359086444944e-01 9.388982252204567391e-01
8.902150854450388007e-01 9.479739552167446570e-01
9.326033468832198858e-01 9.557126068939190144e-01
9.770099572992253512e-01 9.624135752192393145e-01
1.023531021899026339e+00 9.682103626251687967e-01
1.072267222010323762e+00 9.728875189513928046e-01
1.123324032978027631e+00 9.767849130747471298e-01
1.176811952434998476e+00 9.800038683698450992e-01
1.232846739442066575e+00 9.825518814526295053e-01
1.291549665014884107e+00 9.847263633064835542e-01
1.353047774579807516e+00 9.867216543535646256e-01
1.417474162926805503e+00 9.880736424716243249e-01
1.484968262254465099e+00 9.892171167237575613e-01
1.555676143930472266e+00 9.906622124444242061e-01
1.629750834620644406e+00 9.912552198000550430e-01
1.707352647470691265e+00 9.918314696426637767e-01
1.788649529057435128e+00 9.925634903915558915e-01
1.873817422860384996e+00 9.929096066185365554e-01
1.963040650040271506e+00 9.937034582582126019e-01
2.056512308348651619e+00 9.941788808374429909e-01
2.154434690031884259e+00 9.944049579121680971e-01
2.257019719633920118e+00 9.946946461519490246e-01
2.364489412645408350e+00 9.950229166214197285e-01
2.477076355991711498e+00 9.949998085864432129e-01
2.595024211399737268e+00 9.951790058240057579e-01
2.718588242732941307e+00 9.958874081617821172e-01
2.848035868435801810e+00 9.957127181498408586e-01
2.983647240283340274e+00 9.960540237211279457e-01
3.125715849688236680e+00 9.963563988871234622e-01
3.274549162877729902e+00 9.961447075915865756e-01
3.430469286314919319e+00 9.960792321386735537e-01
3.593813663804627634e+00 9.963421589475577322e-01
3.764935806792469197e+00 9.962104552097197363e-01
3.944206059437656009e+00 9.962133944809753450e-01
4.132012400115338657e+00 9.961230219448963252e-01
4.328761281083059131e+00 9.967891225665578281e-01
4.534878508128584507e+00 9.968547792786015549e-01
4.750810162102798273e+00 9.961297439814603694e-01
4.977023564332111683e+00 9.965203529992320286e-01
5.214008287999686964e+00 9.968897456301718529e-01
5.462277217684342823e+00 9.966417452927902598e-01
5.722367659350219959e+00 9.966095073968852525e-01
5.994842503189412142e+00 9.965559043151950291e-01
6.280291441834256361e+00 9.970440148091591626e-01
6.579332246575682497e+00 9.971214934092411664e-01
6.892612104349698399e+00 9.969988512514198487e-01
7.220809018385467404e+00 9.959578891358660258e-01
7.564633275546290392e+00 9.966764686852689348e-01
7.924828983539177862e+00 9.966459119099331243e-01
8.302175681319747369e+00 9.966146115741867373e-01
8.697490026177835176e+00 9.964985116872950854e-01
9.111627561154895361e+00 9.967397254934275974e-01
9.545484566618341660e+00 9.959297758262879441e-01
1.000000000000000000e+01 9.969117298960741280e-01
