Delta y_MSE phi
1.000000000000000021e-03 9.988980008615612732e-04 -7.011930095791379935e-02
1.123324032978026540e-03 1.121946383574868450e-03 -7.012270245191655482e-02
1.261856883066021133e-03 1.260093449739619568e-03 -7.012650081146788728e-02
1.417474162926804808e-03 1.415238170444507119e-03 -7.013074588404899501e-02
1.592282793341093759e-03 1.589466722753268791e-03 -7.013549085027112606e-02
1.788649529057435026e-03 1.785115345361154484e-03 -7.014090037329721861e-02
2.009233002565045858e-03 2.004778040602990183e-03 -7.014695686905775274e-02
2.257019719633921329e-03 2.251420747253173472e-03 -7.015371636984579773e-02
2.535364493970111363e-03 2.528253787332658542e-03 -7.016127434895617909e-02
2.848035868435804668e-03 2.839070619306304985e-03 -7.016989299902379185e-02
3.199267137797384610e-03 3.187984999785623691e-03 -7.017952618136762133e-02
3.593813663804625805e-03 3.579547744787483620e-03 -7.019028873589665263e-02
4.037017258596557745e-03 4.019017033013504853e-03 -7.020230906206574584e-02
4.534878508128581745e-03 4.512291898371752728e-03 -7.021602340601680592e-02
5.094138014816375348e-03 5.065536749782844142e-03 -7.023133891533847595e-02
5.722367659350220161e-03 5.686338831435192379e-03 -7.024844986585299100e-02
6.428073117284318835e-03 6.382656370541642081e-03 -7.026754811092780773e-02
7.220809018385471005e-03 7.163527697261510944e-03 -7.028887895381485951e-02
8.111308307896872294e-03 8.039173269654238327e-03 -7.031320326488814387e-02
9.111627561154887062e-03 9.020619998622081415e-03 -7.034034621416893063e-02
1.023531021899026783e-02 1.012074541840190731e-02 -7.037064833058624680e-02
1.149756995397735633e-02 1.135321576919717454e-02 -7.040445926024310741e-02
1.291549665014883955e-02 1.273356769368989665e-02 -7.044298503408850942e-02
1.450828778495940122e-02 1.427908134410736662e-02 -7.048595538800199456e-02
1.629750834620645114e-02 1.600925682721919194e-02 -7.053387445614395235e-02
1.830738280295367976e-02 1.794448389667890886e-02 -7.058729341009414848e-02
2.056512308348651397e-02 2.010832772877554561e-02 -7.064809959013748641e-02
2.310129700083160542e-02 2.252697102651751715e-02 -7.071584317552891130e-02
2.595024211399737241e-02 2.522795377982337689e-02 -7.079129579417731133e-02
2.915053062825175706e-02 2.824310076795621960e-02 -7.087528499054186748e-02
3.274549162877728181e-02 3.160554599578726392e-02 -7.097074366553711433e-02
3.678379771828634015e-02 3.535276700949387119e-02 -7.107690571433490645e-02
4.132012400115338963e-02 3.952441170155629457e-02 -7.119491270738544098e-02
4.641588833612777382e-02 4.416429315219350116e-02 -7.132599326661814843e-02
5.214008287999684355e-02 4.931915670215712699e-02 -7.147460805448617449e-02
5.857020818056667133e-02 5.503865458893526103e-02 -7.163946640908591679e-02
6.579332246575682330e-02 6.137523836577696984e-02 -7.182218470737003480e-02
7.390722033525783108e-02 6.838576896183468090e-02 -7.202450882355043715e-02
8.302175681319744205e-02 7.612791247558022001e-02 -7.225309788699413316e-02
9.326033468832199691e-02 8.466493482431010353e-02 -7.250570091481346735e-02
1.047615752789665122e-01 9.405474004971203783e-02 -7.278451105557354195e-02
1.176811952434999031e-01 1.043630032268985375e-01 -7.309184406688945534e-02
1.321941148466028726e-01 1.156525707410370751e-01 -7.343733607415076081e-02
1.484968262254464932e-01 1.279852371607101968e-01 -7.381710872904162501e-02
1.668100537200059019e-01 1.414179844630342742e-01 -7.423385689627248762e-02
1.873817422860384885e-01 1.560080284437090625e-01 -7.469041105037442507e-02
2.104904144512019792e-01 1.717843015787756666e-01 -7.520018250942833715e-02
2.364489412645407185e-01 1.888058352845792265e-01 -7.575652345568797963e-02
2.656087782946686682e-01 2.070861220216317911e-01 -7.636241644333294221e-02
2.983647240283340274e-01 2.266511702750183543e-01 -7.702077892193595621e-02
3.351602650938840799e-01 2.474845014832059431e-01 -7.774954757888784262e-02
3.764935806792467643e-01 2.695771859509479840e-01 -7.853770336925290640e-02
4.229242874389498863e-01 2.928878686418726063e-01 -7.938786572757992877e-02
4.750810162102798162e-01 3.173469624306875514e-01 -8.030249052226172413e-02
5.336699231206312177e-01 3.428788924335123278e-01 -8.130429584763887441e-02
5.994842503189409255e-01 3.693659795020019510e-01 -8.237603423143313730e-02
6.734150657750821445e-01 3.967184420548497403e-01 -8.351922721057944421e-02
7.564633275546290836e-01 4.247429734215650843e-01 -8.473497792747435031e-02
8.497534359086447164e-01 4.533318601059476149e-01 -8.602390504323204068e-02
9.545484566618337441e-01 4.822194941443560534e-01 -8.741462488449423807e-02
1.072267222010323096e+00 5.112762561274688533e-01 -8.888004370512266050e-02
1.204503540258782479e+00 5.402939160222235415e-01 -9.041929673582030369e-02
1.353047774579806850e+00 5.690430594412085874e-01 -9.203100856343916780e-02
1.519911082952933867e+00 5.974325305559118338e-01 -9.374824116756461101e-02
1.707352647470690377e+00 6.252356742186275795e-01 -9.553539269542436763e-02
1.917910261672488792e+00 6.521743170879097384e-01 -9.738969244496134547e-02
2.154434690031883370e+00 6.782630999432032182e-01 -9.930805062295669505e-02
2.420128264794382034e+00 7.032460014203710807e-01 -1.013278734399720160e-01
2.718588242732941307e+00 7.271228757583121372e-01 -1.034060072958731813e-01
3.053855508833415389e+00 7.498081220654575496e-01 -1.055385345171960809e-01
3.430469286314919319e+00 7.711126252516160573e-01 -1.077213984762794285e-01
3.853528593710529471e+00 7.912606432154967173e-01 -1.099962851261877816e-01
4.328761281083059131e+00 8.098808123748111321e-01 -1.123143550267837187e-01
4.862601580065353701e+00 8.272685395838847988e-01 -1.146715051428590509e-01
5.462277217684342823e+00 8.432871166691888742e-01 -1.170636994216030929e-01
6.135907273413172547e+00 8.581214719510228406e-01 -1.195365533174721495e-01
6.892612104349698399e+00 8.718662435302511060e-01 -1.220375733257126338e-01
7.742636826811269302e+00 8.844188734380304950e-01 -1.245631443484144091e-01
8.697490026177835176e+00 8.958107394208905117e-01 -1.271098469176297208e-01
9.770099572992251069e+00 9.061653829342845023e-01 -1.297267154978011816e-01
1.097498765493056183e+01 9.155410042712281982e-01 -1.323590549028089702e-01
1.232846739442065953e+01 9.242011991610383781e-01 -1.350040639315917002e-01
1.384886371393873183e+01 9.318261643728851240e-01 -1.376591324942298966e-01
1.555676143930472222e+01 9.387289274891315038e-01 -1.403759801065702639e-01
1.747528400007684013e+01 9.456635433692819337e-01 -1.430986761891938630e-01
1.963040650040270307e+01 9.514782828886768629e-01 -1.458251964422689617e-01
2.205130739903045622e+01 9.550088355728493239e-01 -1.485536922274932614e-01
2.477076355991711409e+01 9.601655261642811912e-01 -1.513378336465929785e-01
2.782559402207124322e+01 9.636845005732894709e-01 -1.541210059086134676e-01
3.125715849688235082e+01 9.677241988608812351e-01 -1.569018062387129431e-01
3.511191734215130822e+01 9.715778112683417511e-01 -1.596790059544128115e-01
3.944206059437656364e+01 9.728081957184535611e-01 -1.625076180371903267e-01
4.430621457583880130e+01 9.784504146226049581e-01 -1.653306374385277999e-01
4.977023564332111505e+01 9.762268060068152176e-01 -1.681471341582157497e-01
5.590810182512222326e+01 9.831525881738101269e-01 -1.709562893453117349e-01
6.280291441834253163e+01 9.832002192957365327e-01 -1.738140428201642163e-01
7.054802310718642389e+01 9.809946168520462528e-01 -1.766631530755814472e-01
7.924828983539173066e+01 9.852027526120601397e-01 -1.795030118955113219e-01
8.902150854450383122e+01 9.924014684556827781e-01 -1.823331049797945469e-01
1.000000000000000000e+02 9.789523365123837806e-01 -1.851529362085536645e-01
