Delta y_MSE
1.000000000000000056e-01 1.888410818650244627e-01
1.047615752789664845e-01 1.972739141302799759e-01
1.097498765493056250e-01 2.061652934460624920e-01
1.149756995397735598e-01 2.155651664224817465e-01
1.204503540258782118e-01 2.248767831798598738e-01
1.261856883066020396e-01 2.352462405135026802e-01
1.321941148466029003e-01 2.451359533668559798e-01
1.384886371393873050e-01 2.565908668522381975e-01
1.450828778495939775e-01 2.677735772260405600e-01
1.519911082952933867e-01 2.793972378925652089e-01
1.592282793341092129e-01 2.918998715876968131e-01
1.668100537200058742e-01 3.038896374898534813e-01
1.747528400007683780e-01 3.170264313415221968e-01
1.830738280295368392e-01 3.309934835432265521e-01
1.917910261672488847e-01 3.451689577352605731e-01
2.009233002565046777e-01 3.598862536461943096e-01
2.104904144512020903e-01 3.747792438297109507e-01
2.205130739903045645e-01 3.905635857008976641e-01
2.310129700083159709e-01 4.066673267227747246e-01
2.420128264794382256e-01 4.235216273375579377e-01
2.535364493970111988e-01 4.407782015217298066e-01
2.656087782946686682e-01 4.585340060213538571e-01
2.782559402207124277e-01 4.768550401681111994e-01
2.915053062825177510e-01 4.957030906346650556e-01
3.053855508833415722e-01 5.148736474968970134e-01
3.199267137797383587e-01 5.348501043791076270e-01
3.351602650938842465e-01 5.552731861612845154e-01
3.511191734215131643e-01 5.763059494369572322e-01
3.678379771828634293e-01 5.974159897174887712e-01
3.853528593710529582e-01 6.187643426612600139e-01
4.037017258596554692e-01 6.410946870532280295e-01
4.229242874389498863e-01 6.630998958266707266e-01
4.430621457583880929e-01 6.858679751128264890e-01
4.641588833612779741e-01 7.083754262442434335e-01
4.862601580065354923e-01 7.316160021916940925e-01
5.094138014816380622e-01 7.544716548067438300e-01
5.336699231206309957e-01 7.771668939220979233e-01
5.590810182512223614e-01 7.999712954597431036e-01
5.857020818056667411e-01 8.218184866065096905e-01
6.135907273413173657e-01 8.436652677775893228e-01
6.428073117284321958e-01 8.645872928961164661e-01
6.734150657750823665e-01 8.843253503136150329e-01
7.054802310718644165e-01 9.023260551234590920e-01
7.390722033525779500e-01 9.185910807240958986e-01
7.742636826811272188e-01 9.328495176911348885e-01
8.111308307896872849e-01 9.449524079609261662e-01
8.497534359086444944e-01 9.554164468785368847e-01
8.902150854450388007e-01 9.641781836585510135e-01
9.326033468832198858e-01 9.711347103520173718e-01
9.770099572992253512e-01 9.767777427327181128e-01
1.023531021899026339e+00 9.808070325446963666e-01
1.072267222010323762e+00 9.840761079897231145e-01
1.123324032978027631e+00 9.864093692107805955e-01
1.176811952434998476e+00 9.886648994085633912e-01
1.232846739442066575e+00 9.897558404848667557e-01
1.291549665014884107e+00 9.910998759979604555e-01
1.353047774579807516e+00 9.917503452368408023e-01
1.417474162926805503e+00 9.925477867492726869e-01
1.484968262254465099e+00 9.928722297421050946e-01
1.555676143930472266e+00 9.938129138808031726e-01
1.629750834620644406e+00 9.941470038323905190e-01
1.707352647470691265e+00 9.947394191976229871e-01
1.788649529057435128e+00 9.947792167450928424e-01
1.873817422860384996e+00 9.945728730142584517e-01
1.963040650040271506e+00 9.945254900052373781e-01
2.056512308348651619e+00 9.945451860949848788e-01
2.154434690031884259e+00 9.955621321067020801e-01
2.257019719633920118e+00 9.949949752604541064e-01
2.364489412645408350e+00 9.949129194717041269e-01
2.477076355991711498e+00 9.943675251844270591e-01
2.595024211399737268e+00 9.960061969549762750e-01
2.718588242732941307e+00 9.955666714898441239e-01
2.848035868435801810e+00 9.942193225233171283e-01
2.983647240283340274e+00 9.959273845176077611e-01
3.125715849688236680e+00 9.950350503444611583e-01
3.274549162877729902e+00 9.940531429519543494e-01
3.430469286314919319e+00 9.943325310361700309e-01
3.593813663804627634e+00 9.948331569437146582e-01
3.764935806792469197e+00 9.946870793676598765e-01
3.944206059437656009e+00 9.948050697484106530e-01
4.132012400115338657e+00 9.943134455318631826e-01
4.328761281083059131e+00 9.936367843779783104e-01
4.534878508128584507e+00 9.944028861057144786e-01
4.750810162102798273e+00 9.938753835539980708e-01
4.977023564332111683e+00 9.924841983923410327e-01
5.214008287999686964e+00 9.932624015105897541e-01
5.462277217684342823e+00 9.936056371450046054e-01
5.722367659350219959e+00 9.938843777280756964e-01
5.994842503189412142e+00 9.965038383086330942e-01
6.280291441834256361e+00 9.936417876253145209e-01
6.579332246575682497e+00 9.939431836132233133e-01
6.892612104349698399e+00 9.942371538392643648e-01
7.220809018385467404e+00 9.916544166025964557e-01
7.564633275546290392e+00 9.916320706476505764e-01
7.924828983539177862e+00 9.926734492366422469e-01
8.302175681319747369e+00 9.956236373815847696e-01
8.697490026177835176e+00 9.930667967018216302e-01
9.111627561154895361e+00 9.909727015315011878e-01
9.545484566618341660e+00 9.914643509995084703e-01
1.000000000000000000e+01 9.916461716306650409e-01
