Delta y_MSE phi
1.000000000000000021e-03 9.980248379842300999e-04 -3.308380498720434049e-01
1.123324032978026540e-03 1.120838537892258815e-03 -3.308684724621775430e-01
1.261856883066021133e-03 1.258699932853095827e-03 -3.309024420630975460e-01
1.417474162926804808e-03 1.413462865938295123e-03 -3.309403891453081004e-01
1.592282793341093759e-03 1.587305551925536967e-03 -3.309827635602572427e-01
1.788649529057435026e-03 1.782340839461840848e-03 -3.310310663322713065e-01
2.009233002565045858e-03 2.001283388918809018e-03 -3.310850323667531847e-01
2.257019719633921329e-03 2.247014646306412337e-03 -3.311450369242310843e-01
2.535364493970111363e-03 2.522761768937725659e-03 -3.312121460821499941e-01
2.848035868435804668e-03 2.832247379458203117e-03 -3.312885418594763154e-01
3.199267137797384610e-03 3.179342957263242130e-03 -3.313737363459501872e-01
3.593813663804625805e-03 3.568657574663749131e-03 -3.314686817596689261e-01
4.037017258596557745e-03 4.005527629672292651e-03 -3.315745656152743193e-01
4.534878508128581745e-03 4.495118491385963373e-03 -3.316948898383151323e-01
5.094138014816375348e-03 5.044226634997050346e-03 -3.318289665094241170e-01
5.722367659350220161e-03 5.659612701579716694e-03 -3.319781850039018045e-01
6.428073117284318835e-03 6.349255491984305555e-03 -3.321442900628173156e-01
7.220809018385471005e-03 7.121852428651948702e-03 -3.323288913987865190e-01
8.111308307896872294e-03 7.987112872822402232e-03 -3.325385181958423475e-01
9.111627561154887062e-03 8.955761293913308205e-03 -3.327714181134044380e-01
1.023531021899026783e-02 1.004038485359618448e-02 -3.330300114487956820e-01
1.149756995397735633e-02 1.125307427114262925e-02 -3.333169365737145284e-01
1.291549665014883955e-02 1.260970422176499982e-02 -3.336419028500788864e-01
1.450828778495940122e-02 1.412568539035593401e-02 -3.340019430628936581e-01
1.629750834620645114e-02 1.581951224460175984e-02 -3.344006542370808743e-01
1.830738280295367976e-02 1.771036409547881857e-02 -3.348416315780755603e-01
2.056512308348651397e-02 1.982041888367344282e-02 -3.353394891982400261e-01
2.310129700083160542e-02 2.217317201013618150e-02 -3.358893043735817208e-01
2.595024211399737241e-02 2.479457519105728383e-02 -3.364958589511866660e-01
2.915053062825175706e-02 2.771344288909447298e-02 -3.371643922122657955e-01
3.274549162877728181e-02 3.096003926610976439e-02 -3.379160315181462537e-01
3.678379771828634015e-02 3.456769843755107263e-02 -3.387426687046646290e-01
4.132012400115338963e-02 3.857352244471045494e-02 -3.396507096330916298e-01
4.641588833612777382e-02 4.301518209904062195e-02 -3.406469379508371143e-01
5.214008287999684355e-02 4.793540503599633823e-02 -3.417617285144508021e-01
5.857020818056667133e-02 5.337854981800985860e-02 -3.429817450568418691e-01
6.579332246575682330e-02 5.939094791986487820e-02 -3.443150927392631400e-01
7.390722033525783108e-02 6.602349226802242677e-02 -3.457702737315241359e-01
8.302175681319744205e-02 7.332741333142191176e-02 -3.473896624434396063e-01
9.326033468832199691e-02 8.135762145625946573e-02 -3.491520103456822732e-01
1.047615752789665122e-01 9.017092285627119341e-02 -3.510669961603395395e-01
1.176811952434999031e-01 9.982267304316401468e-02 -3.531445511440666762e-01
1.321941148466028726e-01 1.103707275310107927e-01 -3.554423327969465363e-01
1.484968262254464932e-01 1.218721713528556766e-01 -3.579273107975393664e-01
1.668100537200059019e-01 1.343824156763016031e-01 -3.606102060675099863e-01
1.873817422860384885e-01 1.479555910406987196e-01 -3.635017634636947825e-01
2.104904144512019792e-01 1.626395247359913032e-01 -3.666780367085945014e-01
2.364489412645407185e-01 1.784822093854004643e-01 -3.700894714432748089e-01
2.656087782946686682e-01 1.955110639996259780e-01 -3.737466337344496070e-01
2.983647240283340274e-01 2.137553780680744586e-01 -3.776598896390233606e-01
3.351602650938840799e-01 2.332482398728982220e-01 -3.819264820146913153e-01
3.764935806792467643e-01 2.539719326868153382e-01 -3.864743434557733059e-01
4.229242874389498863e-01 2.759297473452510530e-01 -3.913124157826552429e-01
4.750810162102798162e-01 2.990675259114683460e-01 -3.964485640881700856e-01
5.336699231206312177e-01 3.233604816200059684e-01 -4.020031510939883201e-01
5.994842503189409255e-01 3.487347276149087016e-01 -4.078755834833405758e-01
6.734150657750821445e-01 3.751129893432390006e-01 -4.140705911418067764e-01
7.564633275546290836e-01 4.023442671623302935e-01 -4.205914593362875542e-01
8.497534359086447164e-01 4.303652117372717134e-01 -4.274400899240468621e-01
9.545484566618337441e-01 4.589118118119551171e-01 -4.347658164466012831e-01
1.072267222010323096e+00 4.879423735284080799e-01 -4.424254119175171640e-01
1.204503540258782479e+00 5.171301505931829023e-01 -4.504153580262836298e-01
1.353047774579806850e+00 5.464386173313477979e-01 -4.587303584924468658e-01
1.519911082952933867e+00 5.755375740138124474e-01 -4.675419848426527469e-01
1.707352647470690377e+00 6.043125449876574073e-01 -4.766697835819474482e-01
1.917910261672488792e+00 6.323994850245929777e-01 -4.861030447896463880e-01
2.154434690031883370e+00 6.598101756229831638e-01 -4.958293910821223172e-01
2.420128264794382034e+00 6.862827196978423805e-01 -5.060410322764126168e-01
2.718588242732941307e+00 7.117135551580610064e-01 -5.165231229858736617e-01
3.053855508833415389e+00 7.358117790024208960e-01 -5.272591314065510071e-01
3.430469286314919319e+00 7.588238521910541934e-01 -5.382317645140000106e-01
3.853528593710529471e+00 7.802301596498483205e-01 -5.496526750278417639e-01
4.328761281083059131e+00 8.003705320301262027e-01 -5.612791593290904490e-01
4.862601580065353701e+00 8.190144231863035751e-01 -5.730928132201384972e-01
5.462277217684342823e+00 8.363259881011108066e-01 -5.850750879027007967e-01
6.135907273413172547e+00 8.522124151754325583e-01 -5.974556864073593543e-01
6.892612104349698399e+00 8.667557045333879051e-01 -6.099730538450003348e-01
7.742636826811269302e+00 8.799991188919267238e-01 -6.226100475887447194e-01
8.697490026177835176e+00 8.922067385876126799e-01 -6.353503581161142888e-01
9.770099572992251069e+00 9.031576262146457923e-01 -6.484397786167983568e-01
1.097498765493056183e+01 9.131308939198978791e-01 -6.616052195892101473e-01
1.232846739442065953e+01 9.219653668435746630e-01 -6.748329955419971604e-01
1.384886371393873183e+01 9.298924414252776049e-01 -6.881103208914485236e-01
1.555676143930472222e+01 9.369574153473503308e-01 -7.016959993076359314e-01
1.747528400007684013e+01 9.441759527213743342e-01 -7.153105463906908046e-01
1.963040650040270307e+01 9.499036741103511483e-01 -7.289438812873665352e-01
2.205130739903045622e+01 9.552242310227183619e-01 -7.425868776082389378e-01
2.477076355991711409e+01 9.596323393234749144e-01 -7.565079918510133616e-01
2.782559402207124322e+01 9.633387927624017522e-01 -7.704240959991692783e-01
3.125715849688235082e+01 9.665695960646385476e-01 -7.843283571997350379e-01
3.511191734215130822e+01 9.701264590811018440e-01 -7.982144827535185838e-01
3.944206059437656364e+01 9.743920319903094374e-01 -8.123576402079339953e-01
4.430621457583880130e+01 9.766091092082491709e-01 -8.264727926388104606e-01
4.977023564332111505e+01 9.791393316790141244e-01 -8.405553644919130374e-01
5.590810182512222326e+01 9.777226802435305952e-01 -8.546011546413390114e-01
6.280291441834253163e+01 9.784116928095443200e-01 -8.688899548112908322e-01
7.054802310718642389e+01 9.899621547025699853e-01 -8.831355051727595162e-01
7.924828983539173066e+01 9.817980841881165377e-01 -8.973348588406960813e-01
8.902150854450383122e+01 9.852124704338089956e-01 -9.114852780956351763e-01
1.000000000000000000e+02 9.969126968959214352e-01 -9.255844564574113864e-01
