Delta y_MSE phi
2.983647240283340274e-01 1.977887046920905334e-01 -7.358959987899641453e-01
3.351602650938840799e-01 2.159410198926477453e-01 -7.459572381900566596e-01
3.764935806792467643e-01 2.353242350407354633e-01 -7.565159949607529466e-01
4.229242874389498863e-01 2.559472966528952842e-01 -7.675847261868018467e-01
4.750810162102798162e-01 2.778020892013675081e-01 -7.791747767001298008e-01
5.336699231206312177e-01 3.008733801776503625e-01 -7.915469729988300340e-01
5.994842503189409255e-01 3.251470330931102715e-01 -8.044713165729868720e-01
6.734150657750821445e-01 3.504908143000061704e-01 -8.179546963607384757e-01
7.564633275546290836e-01 3.769087191995738051e-01 -8.320025607077229379e-01
8.497534359086447164e-01 4.042508778472381215e-01 -8.466178585740657958e-01
9.545484566618337441e-01 4.324002229404450559e-01 -8.621160880472802379e-01
1.072267222010323096e+00 4.612000345028263171e-01 -8.781945390940338880e-01
1.204503540258782479e+00 4.905222640693949199e-01 -8.948489470949648750e-01
1.353047774579806850e+00 5.201283568224317477e-01 -9.120721703800177549e-01
1.519911082952933867e+00 5.498427889288136639e-01 -9.302214142553284493e-01
1.707352647470690377e+00 5.794836322323960731e-01 -9.489299314923793638e-01
1.917910261672488792e+00 6.087246807015365135e-01 -9.681819928363972760e-01
2.154434690031883370e+00 6.374749994671783382e-01 -9.879589805446233886e-01
2.420128264794382034e+00 6.655030041911187411e-01 -1.008657194553703507e+00
2.718588242732941307e+00 6.924571202542011417e-01 -1.029846996066002829e+00
3.053855508833415389e+00 7.183724867864270669e-01 -1.051502292745347678e+00
3.430469286314919319e+00 7.429810859771606157e-01 -1.073594554835147097e+00
3.853528593710529471e+00 7.662754392390642710e-01 -1.096554946683504284e+00
4.328761281083059131e+00 7.880947175076081779e-01 -1.119901015682189582e+00
4.862601580065353701e+00 8.082400597834378253e-01 -1.143600289209886656e+00
5.462277217684342823e+00 8.271089638725224180e-01 -1.167620003361081737e+00
6.135907273413172547e+00 8.443769622394361463e-01 -1.192423941545439181e+00
6.892612104349698399e+00 8.600227964679200143e-01 -1.217490842090134695e+00
7.742636826811269302e+00 8.745365241602525153e-01 -1.242788855515904567e+00
8.697490026177835176e+00 8.875556163309914481e-01 -1.268287293727766940e+00
9.770099572992251069e+00 8.994720772138236065e-01 -1.294479448210823058e+00
1.097498765493056183e+01 9.101155287034686792e-01 -1.320820101358173959e+00
